SKU;Name;Color;Category;Category position;Brand;Seller;Balance;Comments;Rating;Final Price;Min price;Max price;Average price;Base price;Basic Sale;Basic Sale Price;Promo Sale;SPP;SPP Price;Revenue potential;Lost profit;Lost profit percent;Days in stock;Days with sales;Average if in stock;Sales;Sales per day average;Revenue
162824;Перчатки;коричневый;Аксессуары/Перчатки и варежки/Перчатки;8629;Eleganzza;ООО Гретта;11;22;4;7600;7068;7600;7600;7600;0;7600;0;5;7220;7600;0;0;30;1;0.033333333333333;1;0.033333333333333;7600
162825;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8630;Eleganzza;ООО Гретта;12;7;5;7300;6789;7300;0;7300;0;7300;0;5;6935;0;0;0;30;0;0;0;0;0
162827;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8631;Eleganzza;ООО Гретта;16;6;5;6900;6417;6900;0;6900;0;6900;0;5;6555;0;0;0;30;0;0;0;0;0
162876;Перчатки;фиолетовый;Аксессуары/Перчатки и варежки/Перчатки;6722;Eleganzza;ООО Гретта;3;36;4;3450;3208;3450;0;3450;0;3450;0;5;3277;0;0;0;30;0;0;0;0;0
162884;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8632;Eleganzza;ООО Гретта;13;15;4;4600;4278;4600;0;4600;0;4600;0;5;4370;0;0;0;30;0;0;0;0;0
162885;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8633;Eleganzza;ООО Гретта;13;5;4;6800;6324;6800;0;6800;0;6800;0;5;6460;0;0;0;30;0;0;0;0;0
163632;Джинсы Texas;черный;Мужчинам/Одежда/Джинсы;121;Wrangler;ООО Вайлдберриз;563;208;4;4250;3867;4250;4075.6496350365;4250;34;6440;0;5;4037;558364;0;0;30;29;4.5666666666667;137;4.5666666666667;558364
167898;Трусы бикини DS1024 (трусы бикини с кружевной задней частью);белый;Женщинам/Белье/Трусы;-1;Vis-a-vis;ИП Нейман Михаил Игоревич;77;92;4;312;294;374;308.4;312;29;440;0;2;306;1542;0;0;30;4;0.16666666666667;5;0.16666666666667;1542
169110;Платье;голубой, черный;Premium/Женщинам/Одежда/Платья, сарафаны, юбки/Платье;2826;APART;ООО Вайлдберриз;2;0;0;9410;9410;9410;0;9410;45;17110;0;5;8939;0;0;0;30;0;0;0;0;0
169616;Кеды Chuck Taylor As Core;черный;Обувь/Мужская/Кеды и кроссовки/Кеды;511;Converse;ООО Орбико Стайл;23;280;4;6800;6800;6800;6800;6800;0;6800;0;5;6460;266769;151169;56.666666666667;13;11;1.0769230769231;17;0.56666666666667;115600
